DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,IT,9,99,JAN,2020,59641488,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,IT,9,99,JAN,2021,59236213,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,IT,9,99,JAN,2022,59030133,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,IT,9,99,JAN,2023,58850717,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITC1,9,99,JAN,2020,4311217,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC1,9,99,JAN,2021,4274945,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC1,9,99,JAN,2022,4256350,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC1,9,99,JAN,2023,4240736,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITC2,9,99,JAN,2020,125034,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC2,9,99,JAN,2021,124089,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC2,9,99,JAN,2022,123360,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC2,9,99,JAN,2023,122955,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITC3,9,99,JAN,2020,1524826,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC3,9,99,JAN,2021,1518495,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC3,9,99,JAN,2022,1509227,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC3,9,99,JAN,2023,1502624,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITC4,9,99,JAN,2020,10027602,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC4,9,99,JAN,2021,9981554,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC4,9,99,JAN,2022,9943004,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITC4,9,99,JAN,2023,9950742,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITD1,9,99,JAN,2020,532644,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD1,9,99,JAN,2021,534912,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD1,9,99,JAN,2022,532616,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD1,9,99,JAN,2023,533267,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITD2,9,99,JAN,2020,545425,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD2,9,99,JAN,2021,542166,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD2,9,99,JAN,2022,540958,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD2,9,99,JAN,2023,542050,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITD3,9,99,JAN,2020,4879133,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD3,9,99,JAN,2021,4869830,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD3,9,99,JAN,2022,4847745,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD3,9,99,JAN,2023,4838253,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITD4,9,99,JAN,2020,1206216,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD4,9,99,JAN,2021,1201510,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD4,9,99,JAN,2022,1194647,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD4,9,99,JAN,2023,1192191,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITD5,9,99,JAN,2020,4464119,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD5,9,99,JAN,2021,4438937,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD5,9,99,JAN,2022,4425366,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITD5,9,99,JAN,2023,4426929,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITDA,9,99,JAN,2020,1078069,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITDA,9,99,JAN,2021,1077078,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITDA,9,99,JAN,2022,1073574,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITDA,9,99,JAN,2023,1075317,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITE1,9,99,JAN,2020,3692555,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE1,9,99,JAN,2021,3692865,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE1,9,99,JAN,2022,3663191,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE1,9,99,JAN,2023,3651152,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITE2,9,99,JAN,2020,870165,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE2,9,99,JAN,2021,865452,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE2,9,99,JAN,2022,858812,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE2,9,99,JAN,2023,854137,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITE3,9,99,JAN,2020,1512672,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE3,9,99,JAN,2021,1498236,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE3,9,99,JAN,2022,1487150,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE3,9,99,JAN,2023,1480839,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITE4,9,99,JAN,2020,5755700,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE4,9,99,JAN,2021,5730399,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE4,9,99,JAN,2022,5714882,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITE4,9,99,JAN,2023,5707112,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF1,9,99,JAN,2020,1293941,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF1,9,99,JAN,2021,1281012,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF1,9,99,JAN,2022,1275950,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF1,9,99,JAN,2023,1269860,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF2,9,99,JAN,2020,300516,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF2,9,99,JAN,2021,294294,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF2,9,99,JAN,2022,292150,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF2,9,99,JAN,2023,289840,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF3,9,99,JAN,2020,5712143,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF3,9,99,JAN,2021,5624260,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF3,9,99,JAN,2022,5624420,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF3,9,99,JAN,2023,5592175,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF4,9,99,JAN,2020,3953305,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF4,9,99,JAN,2021,3933777,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF4,9,99,JAN,2022,3922941,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF4,9,99,JAN,2023,3900852,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF5,9,99,JAN,2020,553254,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF5,9,99,JAN,2021,545130,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF5,9,99,JAN,2022,541168,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF5,9,99,JAN,2023,536659,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITF6,9,99,JAN,2020,1894110,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF6,9,99,JAN,2021,1860601,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF6,9,99,JAN,2022,1855454,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITF6,9,99,JAN,2023,1841300,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITG1,9,99,JAN,2020,4875290,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG1,9,99,JAN,2021,4833705,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG1,9,99,JAN,2022,4833329,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG1,9,99,JAN,2023,4802016,,,,e,,,,,
IT1:22_289(1.5),A,TOTAL,ITG2,9,99,JAN,2020,1611621,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG2,9,99,JAN,2021,1590044,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG2,9,99,JAN,2022,1587413,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,ITG2,9,99,JAN,2023,1575028,,,,e,,,,,
IT1:22_289(1.5),A,Y_GE100,IT,9,99,JAN,2020,14804,,,,,,,,,
IT1:22_289(1.5),A,Y_GE100,IT,9,99,JAN,2021,17177,,,,,,,,,
IT1:22_289(1.5),A,Y_GE100,IT,9,99,JAN,2022,19714,,,,,,,,,
IT1:22_289(1.5),A,Y_GE100,IT,9,99,JAN,2023,21872,,,,e,,,,,
